season,mechanism,alpha,n_sims,n_finalists,top_judge_final,champion_mode,champion_mode_prob,champion_entropy,tpi_mean,fan_influence_rate,robust_fail_rate,outlier_mult
17,percent_cap,0.5,50,4,Amber Riley,Corbin Bleu,0.36,1.2924121727401936,0.6597222222222223,0.7,0.92,10.0
18,percent,0.5,50,4,Meryl Davis,Amy Purdy,0.48,1.2187590034236118,0.5466666666666667,0.8,0.94,10.0
18,rank,0.5,50,4,Meryl Davis,Amy Purdy,0.66,0.7170996237435391,0.76,0.68,0.74,10.0
18,percent_judge_save,0.5,50,4,Meryl Davis,Amy Purdy,0.5,1.0852309739417487,0.7133333333333333,0.64,0.94,10.0
18,percent_sqrt,0.5,50,4,Meryl Davis,Meryl Davis,0.4,1.373981137115194,0.6595744680851064,0.6,0.92,10.0
18,percent_log,0.5,50,4,Meryl Davis,Candace Cameron Bure,0.36,1.2924121727401936,0.513888888888889,0.7,0.98,10.0
18,dynamic_weight,0.5,50,4,Meryl Davis,Amy Purdy,0.54,1.1754569679455167,0.6258503401360545,0.76,0.92,10.0
18,percent_cap,0.5,50,4,Meryl Davis,Amy Purdy,0.4,1.3298944681874862,0.6054421768707483,0.7,0.96,10.0
19,percent,0.5,50,4,Alfonso Ribeiro,Sadie Robertson,0.36,1.213583915444016,0.6133333333333334,0.74,0.9,10.0
19,rank,0.5,50,4,Alfonso Ribeiro,Alfonso Ribeiro,0.72,0.6650025367997473,0.9000000000000001,0.28,0.24,10.0
19,percent_judge_save,0.5,50,4,Alfonso Ribeiro,Alfonso Ribeiro,0.42,1.073653448656075,0.6933333333333332,0.58,0.86,10.0
19,percent_sqrt,0.5,50,4,Alfonso Ribeiro,Sadie Robertson,0.38,1.236389959030057,0.5866666666666667,0.78,0.96,10.0
19,percent_log,0.5,50,4,Alfonso Ribeiro,Alfonso Ribeiro,0.28,1.5847263583411397,0.5909090909090909,0.72,0.92,10.0
19,dynamic_weight,0.5,50,4,Alfonso Ribeiro,Janel Parrish,0.34,1.2213611297792417,0.6333333333333333,0.68,0.86,10.0
19,percent_cap,0.5,50,4,Alfonso Ribeiro,Sadie Robertson,0.46,1.135922000220738,0.6666666666666667,0.74,0.94,10.0
20,percent,0.5,50,3,Riker Lynch,Riker Lynch,0.44,1.143171669670704,0.5204081632653061,0.76,0.7,10.0
