season,alpha,fan_source_mechanism,count_withdraw_as_exit,n_weeks,n_exit_weeks,n_single_exit_weeks,n_multi_exit_weeks,match_rate_percent,match_rate_rank,match_rate_percent_judge_save,match_rate_rank_judge_save,diff_weeks_percent_vs_rank,mean_fan_share_observed,mean_fan_share_pred_percent,mean_fan_share_pred_rank,mean_judge_pct_observed,mean_judge_pct_pred_percent,mean_judge_pct_pred_rank,seed
17,0.5,rank,1,11,9,9,0,1.0,0.8888888888888888,0.8888888888888888,0.5555555555555556,1,0.0431644476052806,0.0431644476052806,0.0469873731876202,0.1304703908329251,0.1304703908329251,0.1299975775941545,20260130
18,0.5,rank,1,10,8,7,1,1.0,1.0,1.0,0.5714285714285714,0,0.045491834635262,0.045491834635262,0.045491834635262,0.1389968551634869,0.1389968551634869,0.1389968551634869,20260130
19,0.5,rank,1,11,10,10,0,1.0,1.0,0.9,0.7,0,0.0450695619655877,0.0450695619655877,0.0450695619655877,0.1201393929803669,0.1201393929803669,0.1201393929803669,20260130
20,0.5,rank,1,10,8,7,1,1.0,0.875,0.7142857142857143,0.2857142857142857,1,0.0335993191466924,0.0335993191466924,0.0356531274904198,0.1285337784355227,0.1285337784355227,0.1280416524512707,20260130
21,0.5,rank,1,11,7,5,2,0.8571428571428571,0.8571428571428571,0.8,0.6,2,0.0469240086497341,0.0367327171455754,0.0581171485915519,0.1255501880371656,0.1279383773554461,0.1252269818316065,20260130
22,0.5,rank,1,10,7,5,2,0.8571428571428571,0.8571428571428571,0.8,0.8,1,0.046573685250908,0.0352209665715495,0.0538573543665592,0.1158111389708551,0.1168066591301383,0.1150644988513927,20260130
23,0.5,rank,1,11,9,8,1,1.0,1.0,0.875,0.875,0,0.0438911298471316,0.0438911298471316,0.0438911298471316,0.1283444581623816,0.1283444581623816,0.1283444581623816,20260130
24,0.5,rank,1,10,8,7,1,1.0,0.75,0.7142857142857143,0.7142857142857143,2,0.0412777650578439,0.0412777650578439,0.114714503947547,0.1300647848884107,0.1300647848884107,0.1233836102653722,20260130
25,0.5,rank,1,10,8,6,2,1.0,1.0,1.0,0.6666666666666666,0,0.0500822027427377,0.0500822027427377,0.0500822027427377,0.1323858065104278,0.1323858065104278,0.1323858065104278,20260130
26,0.5,rank,1,4,3,0,3,0.6666666666666666,1.0,,,1,0.074785574927492,0.0613870586929553,0.074785574927492,0.1206315107874216,0.1253044079836833,0.1206315107874216,20260130
27,0.5,rank,1,9,7,5,2,1.0,0.8571428571428571,0.8,0.8,1,0.0280616964748858,0.0280616964748858,0.0341866259693214,0.1032367668153869,0.1032367668153869,0.102793111092228,20260130
28,0.5,rank,1,11,7,6,1,1.0,0.8571428571428571,0.8333333333333334,0.8333333333333334,1,0.0418195698260893,0.0418195698260893,0.0598103852898746,0.117028069725388,0.117028069725388,0.1151483704772677,20260130
29,0.5,rank,1,11,9,7,2,1.0,1.0,1.0,0.8571428571428571,0,0.028792842377319,0.028792842377319,0.028792842377319,0.0908122401880783,0.0908122401880783,0.0908122401880783,20260130
30,0.5,rank,1,10,8,5,3,1.0,1.0,1.0,1.0,0,0.0309420488375357,0.0309420488375357,0.0309420488375357,0.0908820872419553,0.0908820872419553,0.0908820872419553,20260130
31,0.5,rank,1,10,9,6,3,0.8888888888888888,0.8888888888888888,1.0,1.0,1,0.0309853398010966,0.0293267280356153,0.0359089976986777,0.0844460692476855,0.0849415480040339,0.0836409162686195,20260130
32,0.5,rank,1,11,9,9,0,1.0,1.0,1.0,0.8888888888888888,0,0.0251414695264323,0.0251414695264323,0.0251414695264323,0.096251637495734,0.096251637495734,0.096251637495734,20260130
33,0.5,rank,1,9,6,4,2,1.0,1.0,0.75,0.75,0,0.0318912375611126,0.0318912375611126,0.0318912375611126,0.1111817812156434,0.1111817812156434,0.1111817812156434,20260130
34,0.5,rank,1,11,8,7,1,1.0,1.0,0.8571428571428571,0.7142857142857143,0,0.0288946990151147,0.0288946990151147,0.0288946990151147,0.1007034671170296,0.1007034671170296,0.1007034671170296,20260130
1,0.5,rank,0,6,3,3,0,1.0,1.0,0.6666666666666666,0.3333333333333333,0,0.0691342651705687,0.0691342651705687,0.0691342651705687,0.1838018110857248,0.1838018110857248,0.1838018110857248,20260130
2,0.5,rank,0,8,7,7,0,1.0,1.0,0.8571428571428571,0.8571428571428571,0,0.0550698417386878,0.0550698417386878,0.0550698417386878,0.1288014736531854,0.1288014736531854,0.1288014736531854,20260130
3,0.5,rank,0,10,7,7,0,1.0,0.8571428571428571,0.8571428571428571,0.5714285714285714,1,0.0493224488325729,0.0493224488325729,0.0670209493992506,0.1346298812986333,0.1346298812986333,0.1322620833507248,20260130
4,0.5,rank,0,10,8,8,0,1.0,1.0,0.875,0.875,0,0.0524593913439763,0.0524593913439763,0.0524593913439763,0.1271455087423343,0.1271455087423343,0.1271455087423343,20260130
5,0.5,rank,0,10,9,9,0,1.0,1.0,1.0,0.7777777777777778,0,0.0440683560486683,0.0440683560486683,0.0440683560486683,0.1300610049208372,0.1300610049208372,0.1300610049208372,20260130
6,0.5,rank,0,10,8,7,1,1.0,1.0,1.0,0.7142857142857143,0,0.0495856863846338,0.0495856863846338,0.0495856863846338,0.1328162616828146,0.1328162616828146,0.1328162616828146,20260130
7,0.5,rank,0,10,8,7,1,0.875,1.0,1.0,0.7142857142857143,1,0.0547716272307315,0.050353457191482,0.0547716272307315,0.1266294668914387,0.1288919103303527,0.1266294668914387,20260130
8,0.5,rank,0,11,9,8,1,1.0,1.0,0.875,1.0,0,0.0504041775058918,0.0504041775058918,0.0504041775058918,0.1191480104932065,0.1191480104932065,0.1191480104932065,20260130
9,0.5,rank,0,10,9,6,3,1.0,0.8888888888888888,0.8333333333333334,0.6666666666666666,1,0.0383648182488099,0.0383648182488099,0.0400043057330149,0.1110610519603451,0.1110610519603451,0.1101997255176233,20260130
10,0.5,rank,0,10,8,8,0,1.0,1.0,0.875,0.75,0,0.0567919512155593,0.0567919512155593,0.0567919512155593,0.1267819680425603,0.1267819680425603,0.1267819680425603,20260130
11,0.5,rank,0,10,9,9,0,1.0,1.0,0.8888888888888888,0.5555555555555556,0,0.0422062651973412,0.0422062651973412,0.0422062651973412,0.1274012708121119,0.1274012708121119,0.1274012708121119,20260130
12,0.5,rank,0,10,8,8,0,1.0,1.0,1.0,0.875,0,0.0517309574332152,0.0517309574332152,0.0517309574332152,0.1315527782468905,0.1315527782468905,0.1315527782468905,20260130
13,0.5,rank,0,10,9,9,0,1.0,1.0,1.0,0.8888888888888888,0,0.0508016814956112,0.0508016814956112,0.0508016814956112,0.123666272340802,0.123666272340802,0.123666272340802,20260130
14,0.5,rank,0,10,8,7,1,0.875,0.875,0.8571428571428571,0.7142857142857143,2,0.0445738432543192,0.037808883232265,0.0722171416444285,0.121997485419298,0.1231442744101237,0.1209105288975589,20260130
